Num2,Linear
800,1.1e-06
800,2.7e-07
800,2.02e-06
800,1.34e-06
800,2.2e-06
810,1.4e-07
810,1.74e-06
810,1.82e-06
810,1.32e-06
810,7.4e-07
810,4.9e-07
810,8.3e-07
810,4.9e-07
810,2.2e-07
810,2.04e-06
820,1.12e-06
820,1.96e-06
820,1.97e-06
820,2.05e-06
820,1e-07
820,2.23e-06
820,2.31e-06
820,2e-06
820,2.39e-06
820,2.35e-06
830,1.2e-07
830,3.2e-07
830,4.1e-07
830,1.02e-06
830,8e-07
830,2.21e-06
830,1.91e-06
830,1.24e-06
830,2.34e-06
830,8.6e-07
840,2.18e-06
840,3.2e-07
840,1.09e-06
840,3.6e-07
840,2.12e-06
840,1.43e-06
840,2.27e-06
840,4.2e-07
840,2.2e-06
840,1e-06
850,1.89e-06
850,1.04e-06
850,2.3e-06
850,2.23e-06
850,2.46e-06
850,1.66e-06
850,8.9e-07
850,1.22e-06
850,1.28e-06
850,1.42e-06
860,1.16e-06
860,1.77e-06
860,1.4e-06
860,1.47e-06
860,1e-07
860,7.9e-07
860,1.48e-06
860,2.37e-06
860,7e-07
860,2.47e-06
870,2.22e-06
870,2.38e-06
870,1.78e-06
870,3.7e-07
870,1.78e-06
870,1.59e-06
870,2.7e-07
870,2.48e-06
870,9.1e-07
870,1.53e-06
880,7e-07
880,1.97e-06
880,1.58e-06
880,2.55e-06
880,6.9e-07
880,1.08e-06
880,3.9e-07
880,1.05e-06
880,1.75e-06
880,2.74e-06
890,9.3e-07
890,1.65e-06
890,1.76e-06
890,1.22e-06
890,3.7e-07
890,2.04e-06
890,1.9e-07
890,2.4e-06
890,2.08e-06
890,1.1e-06
900,2e-07
900,2.2e-07
900,9.7e-07
900,2.31e-06
900,1.82e-06
900,1.88e-06
900,1.2e-06
900,1.49e-06
900,1.19e-06
900,1.77e-06
910,2.2e-06
910,1.75e-06
910,2.49e-06
910,2.3e-06
910,2e-06
910,1.46e-06
910,8.9e-07
910,1.2e-06
910,2.3e-07
910,2.37e-06
920,1.09e-06
920,1.16e-06
920,2.07e-06
920,2.37e-06
920,8e-08
920,7.2e-07
920,1.87e-06
920,1.45e-06
920,9.9e-07
920,7.5e-07
930,2.01e-06
930,2.69e-06
930,5.2e-07
930,1.59e-06
930,6.9e-07
930,1e-06
930,2.29e-06
930,1.41e-06
