Num5,LinearLM
500,5.8e-07
500,5.8e-07
500,5.8e-07
500,5.8e-07
510,6e-07
510,6e-07
510,6e-07
510,6e-07
510,6e-07
510,6e-07
510,7.6e-07
510,6e-07
510,6e-07
510,6.1e-07
520,6.1e-07
520,6.1e-07
520,6.1e-07
520,6.1e-07
520,6.1e-07
520,6.1e-07
520,6.1e-07
520,6.1e-07
520,6.1e-07
520,6.1e-07
530,6.3e-07
530,6.1e-07
530,6.2e-07
530,6.2e-07
530,6.1e-07
530,6.2e-07
530,6.2e-07
530,6.3e-07
530,6.2e-07
530,6.3e-07
540,6.4e-07
540,6.3e-07
540,6.3e-07
540,6.3e-07
540,6.3e-07
540,6.4e-07
540,6.3e-07
540,6.3e-07
540,6.3e-07
540,6.3e-07
550,6.4e-07
550,6.5e-07
550,6.4e-07
550,6.4e-07
550,6.4e-07
550,6.5e-07
550,6.5e-07
550,6.5e-07
550,6.4e-07
550,6.4e-07
560,6.6e-07
560,6.5e-07
560,6.5e-07
560,6.5e-07
560,6.5e-07
560,6.5e-07
560,6.5e-07
560,6.5e-07
560,6.5e-07
560,6.6e-07
570,6.7e-07
570,6.7e-07
570,7.2e-07
570,6.7e-07
570,6.6e-07
570,6.7e-07
570,6.7e-07
570,6.7e-07
570,6.6e-07
570,6.7e-07
580,6.8e-07
580,6.8e-07
580,6.8e-07
580,6.8e-07
580,6.8e-07
580,6.8e-07
580,6.8e-07
580,6.7e-07
580,6.8e-07
580,6.8e-07
590,6.9e-07
590,6.8e-07
590,6.9e-07
590,6.8e-07
590,6.8e-07
590,6.9e-07
590,6.9e-07
590,6.9e-07
590,6.9e-07
590,6.9e-07
600,7e-07
600,7e-07
600,7e-07
600,7e-07
600,6.9e-07
600,7e-07
600,7e-07
600,6.9e-07
600,7e-07
600,7e-07
610,7e-07
610,7e-07
610,7.1e-07
610,7.1e-07
610,7e-07
610,7.1e-07
610,7.2e-07
610,7.1e-07
610,7.1e-07
610,7.2e-07
620,7.2e-07
620,7.2e-07
620,7.3e-07
620,7.2e-07
620,7.2e-07
620,7.3e-07
620,7.2e-07
620,7.3e-07
620,7.2e-07
620,7.2e-07
630,7.3e-07
630,7.3e-07
630,7.3e-07
630,7.2e-07
630,7.3e-07
630,7.3e-07
630,7.3e-07
630,7.3e-07
630,7.3e-07
630,7.3e-07
640,7.5e-07
640,7.4e-07
640,7.5e-07
640,7.4e-07
640,7.4e-07
640,7.4e-07
640,9.3e-07
640,7.4e-07
640,7.5e-07
640,7.5e-07
650,7.5e-07
650,7.6e-07
650,9.4e-07
650,7.6e-07
650,7.5e-07
650,7.5e-07
650,7.6e-07
650,7.5e-07
650,7.5e-07
650,7.5e-07
660,7.7e-07
660,7.69e-07
660,7.7e-07
660,7.6e-07
660,7.6e-07
660,7.7e-07
660,7.7e-07
660,7.7e-07
660,7.7e-07
660,7.7e-07
670,7.7e-07
670,7.7e-07
670,7.8e-07
670,7.8e-07
670,7.9e-07
670,7.7e-07
670,7.7e-07
670,7.7e-07
670,7.7e-07
670,7.7e-07
680,7.9e-07
680,7.9e-07
680,7.9e-07
680,7.9e-07
680,7.9e-07
680,7.8e-07
680,7.8e-07
680,7.9e-07
680,7.9e-07
680,7.9e-07
690,8e-07
690,8e-07
690,7.9e-07
690,7.9e-07
690,8e-07
690,8e-07
690,8e-07
690,8e-07
690,8e-07
690,8e-07
700,8.1e-07
700,8.1e-07
700,8.1e-07
700,8.1e-07
700,8.1e-07
700,8.1e-07
700,8.1e-07
700,8.1e-07
700,8.1e-07
700,8.1e-07
710,8.3e-07
710,8.2e-07
710,8.2e-07
710,8.1e-07
710,8.2e-07
710,8.2e-07
710,8.2e-07
710,8.2e-07
710,8.2e-07
710,8.2e-07
720,8.3e-07
720,8.3e-07
720,8.3e-07
720,8.3e-07
720,8.3e-07
720,8.3e-07
720,8.3e-07
720,8.4e-07
720,8.3e-07
720,8.3e-07
730,8.5e-07
730,8.5e-07
730,8.5e-07
730,8.5e-07
730,8.5e-07
730,8.5e-07
730,8.5e-07
730,8.6e-07
730,8.4e-07
730,8.5e-07
740,8.6e-07
740,8.5e-07
740,8.6e-07
740,8.6e-07
740,8.5e-07
740,1.06e-06
740,8.6e-07
740,8.6e-07
740,8.5e-07
740,8.5e-07
750,1.1e-06
