Num1,Ordenament per barreja
1790,0.000159197
1800,0.000162638
1810,0.000162728
1820,0.000163448
1830,0.000164387
1840,0.000165988
1850,0.000167818
1860,0.000168258
1870,0.000169298
1880,0.000169998
1890,0.000171398
1900,0.000173838
1910,0.000174177
1920,0.000173378
1930,0.000176728
1940,0.000176417
1950,0.000177977
1960,0.000187007
1970,0.000180088
1980,0.000180938
1990,0.000182518
2000,0.000183607
2010,0.000183277
2020,0.000184448
2030,0.000192347
2040,0.000187568
2050,0.000186077
2060,0.000197117
2070,0.000191248
2080,0.000190657
2090,0.000191898
2100,0.000198997
2110,0.000194157
2120,0.000196978
2130,0.000195087
2140,0.000197967
2150,0.000198178
2160,0.000199688
2170,0.000201057
2180,0.000210977
2190,0.000203668
2200,0.000205247
2210,0.000206387
2220,0.000213007
2230,0.000208667
2240,0.000208267
2250,0.000210057
2260,0.000209617
2270,0.000218317
2280,0.000213397
2290,0.000212728
2300,0.000213807
2310,0.000214917
2320,0.000215397
2330,0.000215208
2340,0.000218627
2350,0.000218557
2360,0.000220487
2370,0.000221437
2380,0.000221407
2390,0.000222937
2400,0.000227327
2410,0.000228417
2420,0.000226437
2430,0.000235237
2440,0.000236167
2450,0.000230447
2460,0.000228167
2470,0.000233977
2480,0.000230747
2490,0.000233767
2500,0.000232087
2510,0.000233557
2520,0.000234307
2530,0.000235417
2540,0.000234927
2550,0.000239017
2560,0.000239167
2570,0.000239677
2580,0.000240997
2590,0.000250217
2600,0.000245427
2610,0.000247656
2620,0.000247656
2630,0.000249206
2640,0.000250467
2650,0.000251557
2660,0.000251637
2670,0.000255537
2680,0.000253546
2690,0.000256167
2700,0.000256146
2710,0.000257267
2720,0.000257997
2730,0.000257457
2740,0.000268267
2750,0.000262446
2760,0.000268547
2770,0.000271547
2780,0.000268996
2790,0.000273626
2800,0.000267176
2810,0.000268297
2820,0.000274257
2830,0.000276716
2840,0.000273397
2850,0.000275996
2860,0.000274986
2870,0.000274656
2880,0.000274506
2890,0.000275106
2900,0.000281337
2910,0.000275246
2920,0.000283456
2930,0.000279627
2940,0.000289026
2950,0.000285376
2960,0.000281466
2970,0.000283686
2980,0.000283656
2990,0.000282676
3000,0.000284466
3010,0.000283707
3020,0.000288996
3030,0.000288006
3040,0.000288136
3050,0.000289596
3060,0.000290276
3070,0.000287746
3080,0.000291926
3090,0.000294566
3100,0.000298706
3110,0.000300466
3120,0.000295376
3130,0.000299766
3140,0.000297707
3150,0.000301606
3160,0.000305796
3170,0.000304086
3180,0.000307706
3190,0.000306426
3200,0.000312326
3210,0.000313376
3220,0.000311395
3230,0.000313766
3240,0.000314026
3250,0.000315976
3260,0.000316766
3270,0.000328776
