Num4,Llinear
9410,2.32e-05
9430,2.3229e-05
9450,2.318e-05
9470,2.332e-05
9490,2.3379e-05
9510,2.349e-05
9530,2.348e-05
9550,2.351e-05
9570,2.3579e-05
9590,2.349e-05
9610,2.356e-05
9630,2.376e-05
9650,2.377e-05
9670,2.383e-05
9690,2.3879e-05
9710,2.382e-05
9730,2.396e-05
9750,2.401e-05
9770,2.469e-05
9790,2.419e-05
9810,2.4309e-05
9830,2.423e-05
9850,2.535e-05
9870,2.43e-05
9890,2.435e-05
9910,2.4419e-05
9930,2.445e-05
9950,2.453e-05
9970,2.456e-05
9990,2.46e-05
10010,2.468e-05
10030,2.472e-05
10050,2.461e-05
10070,2.467e-05
10090,2.486e-05
10110,2.506e-05
10130,2.509e-05
10150,2.5e-05
10170,2.51e-05
10190,2.511e-05
10210,2.517e-05
10230,2.5229e-05
10250,2.531e-05
10270,2.528e-05
10290,2.521e-05
10310,2.541e-05
10330,2.53e-05
10350,2.548e-05
10370,2.555e-05
10390,2.5599e-05
10410,2.565e-05
10430,2.569e-05
10450,2.561e-05
10470,2.5809e-05
10490,2.586e-05
10510,2.59e-05
10530,2.592e-05
10550,2.596e-05
10570,2.605e-05
10590,2.624e-05
10610,2.631e-05
10630,2.619e-05
10650,2.626e-05
10670,2.63e-05
10690,2.634e-05
10710,2.642e-05
10730,2.658e-05
10750,2.665e-05
10770,2.651e-05
10790,2.6569e-05
10810,2.662e-05
10830,2.667e-05
10850,2.659e-05
10870,2.679e-05
10890,2.685e-05
10910,3.1259e-05
10930,2.69e-05
10950,2.696e-05
10970,2.703e-05
10990,2.691e-05
11010,2.714e-05
11030,2.717e-05
11050,2.7229e-05
11070,2.712e-05
11090,2.731e-05
11110,3.008e-05
11130,2.742e-05
11150,2.745e-05
11170,2.753e-05
11190,2.754e-05
11210,2.76e-05
11230,2.766e-05
11250,2.787e-05
11270,2.776e-05
11290,2.78e-05
11310,2.789e-05
11330,2.791e-05
11350,2.795e-05
11370,2.8009e-05
11390,2.837e-05
11410,2.809e-05
11430,2.813e-05
11450,2.806e-05
11470,2.809e-05
11490,2.829e-05
11510,2.836e-05
11530,2.839e-05
11550,2.842e-05
11570,2.85e-05
11590,2.854e-05
11610,2.857e-05
11630,2.8349e-05
11650,2.8369e-05
11670,2.843e-05
11690,3.0639e-05
11710,2.8529e-05
11730,2.856e-05
11750,2.877e-05
11770,2.898e-05
11790,2.887e-05
11810,2.878e-05
11830,2.882e-05
11850,2.888e-05
11870,2.8929e-05
11890,2.928e-05
11910,2.901e-05
11930,2.921e-05
11950,2.946e-05
11970,2.916e-05
11990,2.953e-05
12010,2.924e-05
12030,2.931e-05
12050,2.934e-05
12070,3.058e-05
12090,2.9589e-05
12110,2.951e-05
12130,2.987e-05
12150,2.994e-05
12170,2.981e-05
12190,2.9709e-05
12210,2.992e-05
12230,2.98e-05
12250,2.984e-05
12270,3.022e-05
12290,2.994e-05
12310,3.015e-05
12330,3.274e-05
12350,3.043e-05
12370,3.011e-05
12390,3.019e-05
12410,3.057e-05
12430,3.061e-05
12450,3.068e-05
12470,3.502e-05
12490,3.043e-05
12510,3.08e-05
12530,3.071e-05
12550,3.076e-05
12570,3.08e-05
12590,3.102e-05
12610,3.106e-05
12630,3.126e-05
12650,3.15e-05
12670,3.121e-05
12690,3.127e-05
12710,3.131e-05
12730,3.156e-05
12750,3.14e-05
12770,3.165e-05
12790,3.166e-05
12810,3.175e-05
12830,3.178e-05
12850,3.183e-05
12870,3.167e-05
12890,3.416e-05
12910,3.1979e-05
12930,3.186e-05
12950,3.209e-05
12970,3.211e-05
12990,3.2169e-05
13010,3.241e-05
13030,3.228e-05
13050,3.229e-05
13070,3.2339e-05
13090,3.208e-05
13110,3.21e-05
13130,3.234e-05
13150,3.24e-05
13170,3.242e-05
13190,3.23e-05
13210,3.256e-05
13230,3.258e-05
13250,3.263e-05
13270,3.2649e-05
13290,3.2749e-05
13310,3.278e-05
13330,3.282e-05
13350,3.755e-05
13370,3.2929e-05
13390,3.2989e-05
13410,3.3009e-05
13430,3.3049e-05
13450,3.314e-05
13470,3.315e-05
13490,3.32e-05
13510,3.331e-05
13530,3.335e-05
13550,3.339e-05
13570,3.363e-05
13590,3.3449e-05
13610,3.355e-05
13630,3.356e-05
13650,3.363e-05
13670,3.571e-05
13690,3.369e-05
13710,3.377e-05
13730,3.38e-05
13750,3.387e-05
13770,3.375e-05
13790,3.397e-05
13810,3.402e-05
13830,3.404e-05
13850,3.41e-05
13870,3.417e-05
13890,3.422e-05
13910,3.425e-05
13930,3.43e-05
13950,3.433e-05
13970,3.441e-05
13990,3.4449e-05
14010,3.451e-05
14030,3.456e-05
14050,3.425e-05
14070,3.465e-05
14090,3.49e-05
14110,3.512e-05
14130,3.484e-05
14150,3.483e-05
14170,3.488e-05
14190,3.499e-05
14210,3.849e-05
14230,3.5029e-05
14250,3.4699e-05
14270,3.477e-05
14290,3.522e-05
14310,3.522e-05
14330,3.778e-05
14350,3.538e-05
14370,3.539e-05
14390,3.545e-05
14410,3.525e-05
14430,4.0749e-05
14450,3.557e-05
14470,3.525e-05
14490,3.568e-05
14510,3.538e-05
14530,3.537e-05
14550,3.584e-05
14570,3.5499e-05
14590,3.552e-05
14610,3.599e-05
14630,3.603e-05
14650,3.569e-05
14670,3.613e-05
14690,3.578e-05
14710,3.603e-05
14730,3.628e-05
14750,3.59e-05
14770,3.618e-05
14790,3.6039e-05
14810,3.629e-05
14830,3.906e-05
14850,3.656e-05
14870,3.665e-05
14890,3.629e-05
14910,3.653e-05
14930,3.676e-05
14950,3.639e-05
14970,3.685e-05
14990,3.691e-05
15010,3.676e-05
15030,3.702e-05
15050,3.667e-05
15070,3.711e-05
15090,3.716e-05
15110,3.72e-05
15130,4.102e-05
15150,3.6869e-05
15170,3.695e-05
15190,3.76e-05
15210,3.724e-05
15230,3.706e-05
15250,3.755e-05
15270,3.717e-05
15290,3.765e-05
15310,3.727e-05
15330,3.733e-05
15350,3.737e-05
15370,3.7409e-05
15390,3.788e-05
15410,3.7529e-05
15430,3.757e-05
15450,3.7839e-05
15470,3.773e-05
15490,3.812e-05
15510,3.8159e-05
15530,3.824e-05
15550,3.806e-05
15570,3.791e-05
15590,3.839e-05
15610,3.8e-05
15630,3.811e-05
15650,3.855e-05
15670,3.8589e-05
15690,3.8629e-05
15710,3.8669e-05
15730,3.8309e-05
15750,3.8789e-05
15770,3.8829e-05
15790,3.8849e-05
15810,3.8509e-05
15830,3.8579e-05
15850,3.9019e-05
15870,3.909e-05
15890,3.915e-05
15910,4.369e-05
15930,3.925e-05
15950,3.882e-05
15970,3.8879e-05
15990,3.936e-05
16010,3.898e-05
16030,3.95e-05
16050,3.905e-05
16070,3.913e-05
16090,3.963e-05
16110,3.965e-05
16130,3.926e-05
16150,3.9339e-05
16170,3.94e-05
16190,3.9859e-05
16210,3.949e-05
16230,3.9709e-05
16250,4.001e-05
16270,4.0029e-05
16290,3.988e-05
16310,3.971e-05
16330,4.019e-05
16350,4.025e-05
16370,4.032e-05
16390,3.989e-05
16410,3.994e-05
16430,4.046e-05
16450,4.007e-05
16470,4.057e-05
16490,4.015e-05
16510,4.0609e-05
16530,4.0669e-05
16550,4.077e-05
16570,4.082e-05
16590,4.088e-05
16610,4.092e-05
16630,4.094e-05
16650,4.078e-05
16670,4.104e-05
16690,4.109e-05
16710,4.091e-05
16730,4.073e-05
16750,4.129e-05
16770,4.085e-05
16790,4.0869e-05
16810,4.142e-05
16830,4.1e-05
16850,4.148e-05
16870,4.2169e-05
16890,4.157e-05
16910,4.163e-05
16930,4.1249e-05
16950,4.13e-05
16970,4.134e-05
16990,4.183e-05
17010,4.142e-05
17030,4.193e-05
17050,4.1519e-05
17070,4.157e-05
17090,4.137e-05
17110,4.1659e-05
17130,4.221e-05
17150,4.22e-05
17170,4.2049e-05
17190,4.23e-05
17210,4.241e-05
17230,4.197e-05
17250,4.1999e-05
17270,4.25e-05
17290,4.488e-05
17310,4.264e-05
17330,4.269e-05
17350,4.274e-05
17370,4.229e-05
17390,4.257e-05
17410,4.241e-05
17430,4.293e-05
17450,4.249e-05
17470,4.257e-05
17490,4.306e-05
