Num,Ordenament bombolla
130,0.00010211
130,0.00010352
130,0.000105169
130,0.000103959
130,0.000104269
130,0.000104019
130,0.00010226
140,0.00012401
140,0.00012386
140,0.00012485
140,0.00012183
140,0.00011868
140,0.00011619
140,0.00012625
140,0.00012272
140,0.00012053
140,0.00012045
150,0.00014279
150,0.000139099
150,0.000137759
150,0.000140729
150,0.000142609
150,0.000139419
150,0.000138459
150,0.000142659
150,0.000142189
150,0.00013716
160,0.000157499
160,0.000153879
160,0.000161169
160,0.000166979
160,0.000178739
160,0.000155589
160,0.000156249
160,0.000155769
160,0.000157349
160,0.000164149
170,0.000177949
170,0.000177019
170,0.000174059
170,0.000176248
170,0.000184049
170,0.000180719
170,0.000175329
170,0.000179069
170,0.000402417
170,0.000450567
180,0.000492937
180,0.000493427
180,0.000495147
180,0.000486857
180,0.000484517
180,0.000480897
180,0.000474577
180,0.000474607
180,0.000524726
180,0.000272168
190,0.000222359
190,0.000218739
190,0.000227578
190,0.000219279
190,0.000218679
190,0.000219358
190,0.000231679
190,0.000227509
190,0.000222838
190,0.000217889
200,0.000248159
200,0.000242849
200,0.000248668
200,0.000253008
200,0.000253608
200,0.000250208
200,0.000246259
200,0.000244829
200,0.000240459
200,0.000244858
210,0.000274428
210,0.000268588
210,0.000279208
210,0.000268068
210,0.000280078
210,0.000269288
210,0.000266108
210,0.000276118
210,0.000270118
210,0.000271908
220,0.000304268
220,0.000296728
220,0.000302548
220,0.000290288
220,0.000299978
220,0.000300548
220,0.000302869
220,0.000296768
220,0.000298618
220,0.000302828
230,0.000337457
230,0.000332258
230,0.000326608
230,0.000333458
230,0.000326498
230,0.000323088
230,0.000325328
230,0.000326758
230,0.000331098
230,0.000322178
240,0.000359217
240,0.000366658
240,0.000361108
240,0.000360528
240,0.000364568
240,0.000346178
240,0.000353318
240,0.000361928
240,0.000352278
240,0.000354498
250,0.000388877
250,0.000377888
250,0.000393698
250,0.000377078
250,0.000381897
250,0.000388218
250,0.000385818
250,0.000382108
250,0.000385327
250,0.000384227
260,0.000428377
260,0.000413967
260,0.000416457
260,0.000418647
260,0.000429597
260,0.000427497
260,0.000420177
260,0.000423307
260,0.000418107
260,0.000406357
270,0.000448467
270,0.000446147
270,0.000453847
270,0.000442348
270,0.000459437
270,0.000455787
270,0.000453797
270,0.000443708
270,0.000454858
270,0.000453097
280,0.000480247
280,0.000479808
280,0.000488217
280,0.000496037
280,0.000491777
280,0.000489707
280,0.000494157
280,0.000472897
280,0.000491077
280,0.000481487
290,0.000523247
290,0.000509307
290,0.000542177
290,0.000530807
290,0.000521586
290,0.000511847
290,0.000511927
290,0.000535497
290,0.000519877
290,0.000519747
300,0.000568246
300,0.000554456
300,0.000552946
300,0.000561017
300,0.000560937
300,0.000571367
300,0.000555637
300,0.000573337
300,0.000572097
300,0.000559407
310,0.000589907
310,0.000616057
310,0.000604356
310,0.000601086
310,0.000587586
310,0.000578326
310,0.000615267
310,0.000604357
310,0.000594306
310,0.000596796
320,0.000639726
320,0.000626976
320,0.000643926
320,0.000635987
320,0.000630746
320,0.000644406
320,0.000634916
320,0.000639456
320,0.000638996
320,0.000651476
330,0.000661456
330,0.000671936
330,0.000650746
