Num1,Ordenament per barreja
110,1.5299e-05
120,1.7299e-05
120,1.754e-05
120,1.724e-05
120,1.6929e-05
120,1.6879e-05
120,1.6969e-05
120,1.691e-05
120,1.682e-05
120,1.6809e-05
120,1.6979e-05
130,1.9229e-05
130,1.9219e-05
130,1.8309e-05
130,1.887e-05
130,1.8869e-05
130,1.8679e-05
130,1.871e-05
130,1.8559e-05
130,1.8869e-05
130,1.874e-05
140,2.1269e-05
140,2.1079e-05
140,2.0809e-05
140,2.0679e-05
140,2.0599e-05
140,2.0449e-05
140,1.992e-05
140,1.9879e-05
140,2.071e-05
140,2.0399e-05
150,2.2289e-05
150,2.1909e-05
150,2.1969e-05
150,2.2459e-05
150,2.225e-05
150,2.2149e-05
150,2.1179e-05
150,2.194e-05
150,2.1979e-05
150,2.1639e-05
160,2.3929e-05
160,2.3529e-05
160,2.34e-05
160,2.358e-05
160,2.4059e-05
160,2.3039e-05
160,2.3049e-05
160,2.299e-05
160,2.494e-05
160,2.8089e-05
170,3.1088e-05
170,3.1079e-05
170,3.2288e-05
170,3.2409e-05
170,3.0989e-05
170,3.0889e-05
170,3.1389e-05
170,3.1869e-05
170,3.0779e-05
170,3.2079e-05
180,4.2508e-05
180,3.0899e-05
180,3.1589e-05
180,3.0959e-05
180,2.5159e-05
180,2.4849e-05
180,2.506e-05
180,2.508e-05
180,2.457e-05
180,2.5099e-05
190,2.645e-05
190,2.6359e-05
190,2.5869e-05
190,2.5769e-05
190,2.6029e-05
190,2.5829e-05
190,2.6309e-05
190,2.5889e-05
190,2.5829e-05
190,2.6369e-05
200,2.8369e-05
200,2.8399e-05
200,2.7889e-05
200,2.8029e-05
200,2.8049e-05
200,2.7699e-05
200,2.7689e-05
200,2.8159e-05
200,2.7829e-05
200,2.8299e-05
210,3.0689e-05
210,3.0109e-05
210,2.9549e-05
210,2.9619e-05
210,2.9499e-05
210,2.9989e-05
210,3.0189e-05
210,2.9419e-05
210,2.9319e-05
210,2.9689e-05
220,3.2159e-05
220,3.1629e-05
220,3.1549e-05
220,3.1519e-05
220,3.1259e-05
220,3.1418e-05
220,3.1339e-05
220,3.1599e-05
220,3.0639e-05
220,3.1009e-05
230,3.3519e-05
230,3.2678e-05
230,3.3389e-05
230,3.3339e-05
230,3.2889e-05
230,3.2869e-05
230,3.3119e-05
230,3.3259e-05
230,3.2579e-05
230,3.2639e-05
240,3.5498e-05
240,3.4498e-05
240,3.4728e-05
240,3.4499e-05
240,3.4509e-05
240,3.4429e-05
240,3.4308e-05
240,3.4078e-05
240,3.4198e-05
240,3.3888e-05
250,3.5998e-05
250,3.6529e-05
250,3.5909e-05
250,3.6289e-05
250,3.6769e-05
250,3.6149e-05
250,3.5489e-05
250,3.6238e-05
250,3.6678e-05
250,3.6079e-05
260,3.8389e-05
260,3.7479e-05
260,3.7948e-05
260,3.7909e-05
260,3.8319e-05
260,3.8059e-05
260,3.7978e-05
260,5.0309e-05
260,4.1148e-05
260,4.0809e-05
270,4.3458e-05
270,4.3679e-05
270,4.3358e-05
270,4.3578e-05
270,4.2689e-05
270,4.3048e-05
270,4.3209e-05
270,5.9328e-05
270,4.3199e-05
270,4.2748e-05
280,4.5119e-05
280,4.5408e-05
280,2.04e-05
280,2.0069e-05
280,2.0009e-05
280,1.9729e-05
280,1.994e-05
280,1.9919e-05
280,1.9969e-05
280,2.0189e-05
290,2.123e-05
290,2.0819e-05
290,2.064e-05
290,2.0959e-05
290,2.0829e-05
290,2.067e-05
290,2.0689e-05
290,2.0819e-05
290,2.1039e-05
290,2.0869e-05
300,2.2279e-05
300,2.2029e-05
300,2.1779e-05
300,2.234e-05
300,2.2239e-05
300,2.223e-05
300,2.1879e-05
300,2.16e-05
300,2.1789e-05
300,2.1909e-05
310,2.2689e-05
310,2.309e-05
310,2.2639e-05
310,2.27e-05
310,2.2599e-05
310,2.2849e-05
310,2.24e-05
